"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1uF 50V","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C2","470uF 50V","~","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","1",""
"D1,D2,D3,D4","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","4",""
"D5,D6,D7,D8","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4",""
"J1","Screw_Terminal_01x06","~","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal","1",""
"Q1,Q8","2N2222","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","Package_TO_SOT_THT:TO-92_Inline_Horizontal1","2",""
"Q2,Q4,Q5,Q6","IRF4905","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c","Package_TO_SOT_THT:TO-220-3_Vertical","4",""
"Q3,Q7","IRLZ44N","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"R1,R2,R5,R6,R7,R8","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6",""
"R3,R4","470","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
